x,y,name
0.6243896478248446,1.0,primary
0.48011589732629095,0.7962359479624534,rose
0.7513532897441766,0.03233107842189683,wheat
0.23945998354943643,0.6191596061526026,gold
0.5508027015312161,0.8906821404435046,copper
0.7806005881573119,0.17350579052950585,tomato
0.10150476310993135,0.2001581547295656,white
0.1740183950723655,0.21531071561554166,blue
0.16182909612008992,0.14372811449949355,green
0.12762598090354538,0.22640782859886455,red
0.7007823561962175,0.8992938251949081,spectrum
0.0,0.08326847984380054,jet
0.23802172995594967,0.6139805615859879,silver
0.2749414624067621,0.0,light
0.8206951672432315,0.8848224652710884,slate
0.6606785058449814,0.951565739989774,secondary
0.11488977179520657,0.4457233964206818,orange
0.2731105817518441,0.07829071483819677,color
0.5686807942830543,0.09306515356034843,chocolate
0.21327154645734456,0.038058567484142145,dark
0.691552839922963,0.9132987514404008,complementary
0.6730324126375389,0.9001919490130338,denim
0.06483761226552076,0.14822437021043755,black
0.20004314130796405,0.47821509843862,olive
0.052900527428949205,0.22812176283439367,brown
0.13359657077000406,0.24431468852243657,yellow
0.14593734938787498,0.13571715155414008,grey
0.7519033130714362,0.7408574694597936,rust
0.709596590131514,0.31815868564296707,salmon
0.2668773095346637,0.044735217886236016,shade
0.2740974202720006,0.1876958951493294,gray
0.5501392443253084,0.5193594812445609,amber
0.3965710135979328,0.3730929060830473,bronze
0.134054884168717,0.19879857780973437,pink
1.0,0.7304144387344691,cardinal
0.8703796995786646,0.6386038348538796,jade
0.8934502930927308,0.655324507528416,cyan
0.616154039542797,0.6639249016339465,buff
0.9307508614034452,0.5318781070279591,sepia
0.6024561902264568,0.13979467733541884,mustard
0.28847694278314734,0.3738103367235306,ivory
0.8389215088798456,0.33716113853678714,charcoal
0.36066629045418974,0.2581514399750746,cream
0.13890717884258194,0.04957615092121856,pale
0.5844833499729621,0.5130381655293836,ruby
0.4271793558089664,0.34354850044678586,violet
0.9234591844776634,0.5391246184051559,saffron
0.49302027017790095,0.3189208879184559,rainbow
0.1951861427531685,0.30949486550080024,purple
0.739651582699487,0.5020530217995153,pastel
0.9838463268979272,0.6743173232742465,tan
0.4835731973116564,0.449612771548033,emerald
0.7033999273376393,0.4828226271933833,maroon
0.8177400065472142,0.3313526213839156,cinnamon
0.7652279430350779,0.4150041370249278,lavender
0.8249638026912623,0.6230069007629613,peach
0.2212856260969466,0.2889678340035935,crimson
0.414739669694741,0.1499063859119196,hue
0.20756602238127542,0.33763656938578523,scarlet
0.7303464452404316,0.5796801283574927,pumpkin
0.7939010319831773,0.5719540155678097,aquamarine
0.9910857151472924,0.45422731595373617,magenta
0.8465193265562867,0.5111695254797128,tint
0.8567390433645952,0.451593956562972,ebony
0.5629645226790374,0.37000114620205526,azure
0.9600504642425985,0.4888660749322129,carmine
0.6328962384975149,0.31186161676720225,lime
0.5266337413201059,0.36414053382436107,lemon
0.8057185668459174,0.6222906402902112,tangerine
0.7007093242448753,0.5407952939227714,mahogany
0.8401326427224147,0.4999284577656541,apricot
0.4664140276617178,0.4634093704488223,sapphire
0.9170856988097059,0.2614480059866531,topaz
0.919033819496927,0.35900897343260013,amethyst
0.6965734169870957,0.2636926661825957,thistle
0.5800259923020568,0.36237762391872114,coral
0.8091613351991221,0.35463144824176074,vermilion
0.4577933783762131,0.39998014731447773,pewter
0.8436382204857247,0.4194313474841601,turquoise
0.8212155970695914,0.4380207070686311,mauve
0.8178156886314736,0.4965736645290041,russet
0.903748327418588,0.44334227913622926,umber
0.7867816451962151,0.494573521190151,auburn
0.5413813635135453,0.30237960302849587,lilac
0.7669852888013845,0.41649138808094727,persimmon
0.7235492165486814,0.4032421840058769,cerulean
