x,y,name
0.690796228538132,0.15849249620665198,row
0.8683945963764426,0.21026753775732512,run
0.9369528367370329,0.35079228719702615,stick
1.0,0.44883481437284256,out
0.5455403749660106,0.0015197785525276526,quarter
0.9545225904639992,0.24669134535389006,lose
0.6899280766054489,0.14960044655256088,movement
0.8885038396414123,0.24187470113728307,walk
0.8864067044806729,0.22984720740516734,go
0.9010767959107593,0.1747520219167038,move
0.9919864281699682,0.4370352595454339,forward
0.7567904687257281,0.7041961109531736,competition
0.7491375273607902,0.2832233620754965,tie
0.9837736140212041,0.4298923142876399,home
0.5422226746352385,0.0,net
0.8305479434652489,0.5584200478068835,target
0.8284474128716517,0.5643770068363552,base
0.7302188293425554,0.37433324995436695,jumping
0.7348646875636643,0.04821756376417494,team
0.7039314722251258,0.08102477094074126,field
0.8494007831633609,0.26536130842855415,ride
0.7829485331776758,0.4208341804232088,running
0.3045071358734534,0.5508374080185847,tennis
0.42089879583098755,0.529821817359919,racket
0.7593461507887912,0.7456759177825312,equipment
0.8903143012549464,0.16877135250185338,strike
0.8651139777220372,0.2682404963485519,jump
0.7592364133879256,0.023569635457355003,guard
0.6723823057501819,0.1242298045119846,game
0.7587064829975685,0.7505432305769464,defense
0.9020995824878612,0.33039258111659464,play
0.9446262347676071,0.24931435378083422,win
0.7455317691550285,0.3475087333601289,throwing
0.75500011349246,0.5976853443682573,goal
0.8735629869608839,0.5284942657736266,exercise
0.8586643506732063,0.33460040787159706,compete
0.638465401660091,0.15883992792656165,ball
0.3707195571421459,0.9050644393493988,winning
0.5802656227975808,0.6500115206546241,competitor
0.6817531306404702,0.17993175144685972,pool
0.6279649765070607,0.3218724053698099,dive
0.276523071148937,0.35641409484140213,diamond
0.9109515273236133,0.2569276038021088,throw
0.6379034505164,0.6792146412256973,competing
0.4393964041291826,0.8722644038326075,tag
0.7289172342924333,0.24706495467741021,hitter
0.5596261175387699,0.7175786093015661,player
0.5957227774323186,0.33959798839473515,gear
0.3665527398527699,0.5678758965533032,batter
0.5111333399093573,0.7065872984399445,winner
0.9374235502178916,0.24433545163300927,catch
0.9413049689988106,0.35456720775643236,bow
0.5764875475418981,0.6349517620503224,cycle
0.8849788946058574,0.40009128707457126,playing
0.40833438185420895,0.8031996614474779,football
0.31420366544216244,0.7340775318450617,golf
0.7348222189653466,0.03152157042204007,crew
0.658265711910179,0.40997649661004915,swimming
0.39951501355791197,0.3777884496969399,weights
0.7131020693271727,0.3973276262997936,sailing
0.3420896035582268,0.7924642025103876,wrestling
0.37675967257004933,0.5122775748750205,fitness
0.4571163929163144,0.8015130459739633,club
0.5288132322307003,0.6016199737485192,uniform
0.3303891707829868,0.5208921739907387,ski
0.7640140256130532,0.3924386312570205,walking
0.5956773664368887,0.7376592009154076,league
0.4467678141361538,0.6109365006328694,arena
0.5435718477796158,0.6853086981360585,loser
0.6438932042489709,0.40102512220570985,diving
0.5608659409314247,0.3809541625003319,dart
0.423464229838765,0.2814297571469702,hurdle
0.3344900596951658,0.5993972355865146,rowing
0.143111390654405,0.5507203649977561,skate
0.6486509763107141,0.4071846300946401,racing
0.1676988735849989,0.6852399714722666,skiing
0.21515949613831398,0.5896381469016583,squash
0.2460545957580722,0.43092501935616345,bicycle
0.49180207391357594,0.5716146152153627,mat
0.4722760385097198,0.9998717604082982,boomerang
0.5144166655691058,0.5777631432862078,sport
0.4212965191815802,0.7780535292964393,bowling
0.131545117176061,0.3611691561758201,Olympics
0.6013266194369896,0.6618488817681842,medal
0.727349543793004,0.11481614031864612,race
0.3999225215465202,0.829592094252197,baseball
0.525590631575732,0.5465718316300584,batting
0.46297565086991743,0.6806387906783476,bat
0.40115390539698215,0.5343608228604915,stadium
0.4669333739477544,0.16315208874068238,score
0.8313344508837793,0.2903358295216322,swim
0.540517882441801,0.8439347865434572,offense
0.4793293800593467,0.47023568137005606,cue
0.6707813521519712,0.4138426693963114,riding
0.5713308518183593,0.9230589631006605,arrow
0.17617889475531262,0.4413917048359499,walker
0.3993095361595852,0.7896323586961741,basketball
0.35605854510886265,0.8610206700616241,boxing
0.3464487508683574,0.4892106595257658,champion
0.6705648384292382,0.2724977720113328,pitch
0.4375543234228728,0.6108165119346803,coach
0.18541510731295907,0.553557272184979,wrestler
0.07313977217626327,0.3182339205847057,playoffs
0.5287248248736613,0.3531126223093818,hoop
0.3237480170345177,0.5341275801335407,catcher
0.2813171701388354,1.0,umpire
0.2713622467284981,0.6913781455899903,soccer
0.07599908159846334,0.8209516729795626,ollie
0.10915242429702632,0.4385039234693995,runner
0.2927605261454402,0.6663781159694324,archer
0.40147417831692456,0.5917464817572561,skeleton
0.28650857213688186,0.44815685904440744,racer
0.25482952451703356,0.5135159441887358,polo
0.33185802476228005,0.4351098326800897,vault
0.17929015743879556,0.281007821012099,lacrosse
0.1478133272280929,0.4688110510189368,boxer
0.560710390874571,0.9140713331334933,athlete
0.5071461073907692,0.4015130390044203,pole
0.7115131421933487,0.5884536556403154,jogger
0.29174780910512177,0.48387449860236276,quarterback
0.09650768287908797,0.8871687228096347,snorkeling
0.616006584244052,0.5934999295727676,stroke
0.11376460841785259,0.586639077265957,surfing
0.16425099133095084,0.5488445299158226,surfer
0.25883365993941276,0.5293121834651355,bowler
0.20987730951318087,0.46375455694858914,fielding
0.27578034006077407,0.5932225083064756,championship
0.05190017203215119,0.7905557046650566,relay
0.20035725371412252,0.699821900297481,gymnasium
0.25266177182560423,0.6120769356703513,mallet
0.4917293663468421,0.4228825988143553,tee
0.1329188990353328,0.4267018735455871,trampoline
